Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Default price,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Sir Ramos Drugstore - Mabalas Balas],Price [Sir Ramos Drugstore - Mabalas Balas],In stock [Sir Ramos Drugstore - Mabalas Balas],Low stock [Sir Ramos Drugstore - Mabalas Balas],"Modifier - ""Biguerlai""","Modifier - ""Biofit""","Modifier - ""MX3 Coffee""","Modifier - ""Xanthone Coffee""","Modifier - ""Sante Barley Juice""","Modifier - ""UH Ferrous""","Modifier - ""Supracid""","Modifier - ""Chilli Plaster""","Modifier - ""Facemask Regular""","Modifier - ""VIP DC""","Modifier - ""4x4 Gauze Pad""","Modifier - ""Gloves"""
rexona-quantum-dry-25ml,11054,Rexona Men Quantum Dry 25ml,General Merchandise,,N,,,,,,,72.00,65.58,4800888144256,,,Y,Y,75.00,6.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
rexona-men-quantum-dry-3ml,10876,Rexona Men Quantum Dry 3ml Sachet,General Merchandise,,N,,,,,,,10.00,6.80,4800888151117,,,Y,Y,10.00,2.000,6.000,N,N,N,N,N,N,N,N,N,N,N,N
rexona-quantum-dry-50ml,11058,Rexona Men Quantum Dry 45ml,General Merchandise,,N,,,,,,,136.00,122.92,4800888143402,,,Y,Y,136.00,1.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
rexona-passion-3ml,11534,Rexona Women Passion 3ml Sachet,General Merchandise,,N,,,,,,,12.00,6.85,,,,Y,Y,10.00,4.000,5.000,N,N,N,N,N,N,N,N,N,N,N,N
rexona-women-passion-45ml,10410,Rexona Women Passion 45ml,General Merchandise,,N,,,,,,,135.00,123.58,,,,Y,Y,136.00,1.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
rexona-powder-dry-25ml,11053,Rexona Women Powder Dry 25ml,General Merchandise,,N,,,,,,,72.00,65.58,4800888158925,,,Y,Y,75.00,-2.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
rexona-powder-dry-3ml,10877,Rexona Women Powder Dry 3ml Sachet,General Merchandise,,N,,,,,,,10.00,6.87,4800888158888,,,Y,Y,10.00,22.000,6.000,N,N,N,N,N,N,N,N,N,N,N,N
rexona-powder-dry-50ml,11057,Rexona Women Powder Dry 45ml,General Merchandise,,N,,,,,,,137.00,123.58,4800888158932,,,Y,Y,136.00,0.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
rexona-shower-clean-25ml,11055,Rexona Women Shower Clean 25ml,General Merchandise,,N,,,,,,,70.00,65.58,4800888150622,,,Y,Y,75.00,3.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
rexona-shower-clean-3ml,10878,Rexona Women Shower Clean 3ml Sachet,General Merchandise,,N,,,,,,,10.00,6.80,4800888150608,,,Y,Y,10.00,10.000,6.000,N,N,N,N,N,N,N,N,N,N,N,N
rexona-shower-clean-50ml,11059,Rexona Women Shower Clean 45ml,General Merchandise,,N,,,,,,,136.00,123.58,4800888150639,,,Y,Y,136.00,6.000,3.000,N,N,N,N,N,N,N,N,N,N,N,N
rifampicin-450mg-capsule,11123,Rifampicin 450mg Cap,Generics,,N,,,,,,,10.00,6.50,,,,Y,Y,10.00,57.000,30.000,N,N,N,N,N,N,N,N,N,N,N,N
rm-amlodipine-10mg,10178,RM Amlodipine 10mg Tab,Branded / Unilab,,N,,,,,,,9.00,7.27,,,,Y,Y,9.00,15.000,30.000,N,N,N,N,N,N,N,N,N,N,N,N
rm-amlodipine-5mg,10179,RM Amlodipine 5mg Tab,Branded / Unilab,,N,,,,,,,6.50,5.06,,,,Y,Y,6.50,85.000,40.000,N,N,N,N,N,N,N,N,N,N,N,N
rm-amoxicillin-500mg,10180,RM Amoxicillin 500mg Cap,Branded / Unilab,,N,,,,,,,7.50,5.85,,,,Y,Y,8.00,50.000,10.000,N,N,N,N,N,N,N,N,N,N,N,N
rm-atorvastatin-10mg,10181,RM Atorvastatin 10mg Tab,Branded / Unilab,,N,,,,,,,14.00,10.97,,,,Y,Y,14.00,15.000,10.000,N,N,N,N,N,N,N,N,N,N,N,N
rm-atorvastatin-20mg,10182,RM Atorvastatin 20mg Tab,Branded / Unilab,,N,,,,,,,17.50,13.89,,,,Y,Y,17.50,48.000,20.000,N,N,N,N,N,N,N,N,N,N,N,N
rm-atorvastatin-40mg,10183,RM Atorvastatin 40mg Tab,Branded / Unilab,,N,,,,,,,24.50,19.70,,,,Y,Y,24.50,23.000,10.000,N,N,N,N,N,N,N,N,N,N,N,N
rm-cefalexin-500mg,10184,RM Cefalexin 500mg Cap,Branded / Unilab,,N,,,,,,,21.00,15.99,,,,Y,Y,21.00,14.000,10.000,N,N,N,N,N,N,N,N,N,N,N,N
rm-cefuroxime-500mg,11348,RM Cefuroxime 500mg,Branded / Unilab,,N,,,,,,,52.00,41.15,,,,Y,Y,52.00,10.000,5.000,N,N,N,N,N,N,N,N,N,N,N,N
rm-cetirizine,10186,RM Cetirizine 10mg Tab,Branded / Unilab,,N,,,,,,,16.00,12.48,,,,Y,Y,16.00,17.000,5.000,N,N,N,N,N,N,N,N,N,N,N,N
rm-ciprofloxacin-500mg-1,11638,RM Ciprofloxacin 500mg Tab,Branded / Unilab,,N,,,,,,,34.50,23.40,,,,Y,Y,32.00,20.000,10.000,N,N,N,N,N,N,N,N,N,N,N,N
rm-ciprofloxacin-500mg,10187,RM Clopidogrel 75mg Tab,Branded / Unilab,,N,,,,,,,23.00,16.07,,,,Y,Y,22.00,21.000,10.000,N,N,N,N,N,N,N,N,N,N,N,N
rm-co-amoxiclav-625mg-tab,11832,RM Co-amoxiclav 625mg Tab,Branded / Unilab,,N,,,,,,,37.00,28.66,,,,Y,Y,37.00,18.000,15.000,N,N,N,N,N,N,N,N,N,N,N,N
rm-losartan-100mg,10189,RM Losartan 100mg Tab,Branded / Unilab,,N,,,,,,,15.00,13.19,,,,Y,Y,16.00,20.000,30.000,N,N,N,N,N,N,N,N,N,N,N,N
rm-losartan-50mg,10188,RM Losartan 50mg Tab,Branded / Unilab,,N,,,,,,,13.00,10.10,,,,Y,Y,13.00,85.000,60.000,N,N,N,N,N,N,N,N,N,N,N,N
rm-mefenamic-500mg,10190,RM Mefenamic 500mg Tab,Branded / Unilab,,N,,,,,,,6.00,3.99,,,,Y,Y,6.00,46.000,40.000,N,N,N,N,N,N,N,N,N,N,N,N
rm-metformin-1g,11410,RM Metformin 1g,Branded / Unilab,,N,,,,,,,11.00,8.68,,,,Y,Y,11.00,22.000,10.000,N,N,N,N,N,N,N,N,N,N,N,N
rm-metformin-500mg,10191,RM Metformin 500mg Tab,Branded / Unilab,,N,,,,,,,4.50,3.32,,,,Y,Y,4.50,170.000,50.000,N,N,N,N,N,N,N,N,N,N,N,N
metformin-850mg,11641,RM Metformin 850mg Tab,Branded / Unilab,,N,,,,,,,8.00,6.24,,,,Y,Y,8.00,17.000,10.000,N,N,N,N,N,N,N,N,N,N,N,N
rm-paracetamol-125mg-suppository-1,11853,RM Paracetamol 125mg Suppository,Branded / Unilab,,N,,,,,,,10.00,7.41,,,,Y,Y,10.00,0.000,10.000,N,N,N,N,N,N,N,N,N,N,N,N
rm-trimetazidine,11642,RM Trimetazidine 35mg Tab,Branded / Unilab,,N,,,,,,,15.00,12.29,,,,Y,Y,15.00,5.000,20.000,N,N,N,N,N,N,N,N,N,N,N,N
robikids-syrup-60ml,11344,Robikids Syrup 60ml,Branded,,N,,,,,,,123.00,111.72,,,,Y,Y,125.00,2.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
robitussin-capsule,10192,Robitussin Capsule,Branded,,N,,,,,,,12.00,10.78,,,,Y,Y,12.00,-4.000,20.000,N,N,N,N,N,N,N,N,N,N,N,N
robitussin-dm-60ml,10303,Robitussin DM Syrup 60ml,Branded,,N,,,,,,,141.00,126.46,4800318001890,,,Y,Y,141.00,0.000,3.000,N,N,N,N,N,N,N,N,N,N,N,N
robitussin-dm-120ml,10302,Robitussin DM Syrup120ml,Branded,,N,,,,,,,202.00,181.77,4800318001883,,,Y,Y,202.00,0.000,3.000,N,N,N,N,N,N,N,N,N,N,N,N
robitussin-expectorant-120ml,11613,Robitussin Expectorant Syrup 120ml,Branded,,N,,,,,,,162.00,146.75,4800318001913,,,Y,Y,162.00,1.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
robitussin-expectorant-60ml,11614,Robitussin Expectorant Syrup 60ml,Branded,,N,,,,,,,112.00,101.92,4800318001920,,,Y,Y,112.00,1.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
robust-extreme,10594,Robust Extreme Cap,Branded,<p>Selling price per piece</p>,N,,,,,,,165.00,113.00,4806518900773,,,Y,Y,165.00,1.000,6.000,N,N,N,N,N,N,N,N,N,N,N,N
robust,10593,Robust Tab,Branded,<p>Selling per piece</p>,N,,,,,,,90.00,56.63,4806518900391,,,Y,Y,90.00,3.000,10.000,N,N,N,N,N,N,N,N,N,N,N,N
rogin-e,10193,Rogin E Cap,Branded,,N,,,,,,,28.00,21.29,,,,Y,Y,24.00,27.000,20.000,N,N,N,N,N,N,N,N,N,N,N,N
lustatin-10mg,11203,Rosuvastatin (Lustatin) 10mg Tab,Bellkenz,,N,,,,,,,20.00,14.00,,,,Y,Y,20.00,0.000,50.000,N,N,N,N,N,N,N,N,N,N,N,N
lustatin-20mg,11204,Rosuvastatin (Lustatin) 20mg Tab,Bellkenz,,N,,,,,,,25.00,17.50,,,,Y,Y,25.00,60.000,50.000,N,N,N,N,N,N,N,N,N,N,N,N
lustatin-40mg-tab,10499,Rosuvastatin (Lustatin) 40mg Tab,Bellkenz,,N,,,,,,,47.00,33.00,,,,Y,Y,47.00,20.000,10.000,N,N,N,N,N,N,N,N,N,N,N,N
rosuvastatin-10mg,10500,Rosuvastatin 10mg Tab,Generics,,N,,,,,,,10.00,1.75,,,,Y,Y,10.00,199.000,200.000,N,N,N,N,N,N,N,N,N,N,N,N
rosuvastatin-20mg,10501,Rosuvastatin 20mg Tab,Generics,,N,,,,,,,12.00,2.10,,,,Y,Y,12.00,480.000,200.000,N,N,N,N,N,N,N,N,N,N,N,N
rosuvastatin-40mg-tab,10257,Rosuvastatin 40mg Tab,Generics,,N,,,,,,,15.00,3.98,,,,Y,Y,15.00,40.000,30.000,N,N,N,N,N,N,N,N,N,N,N,N
rowachol-cap,11812,Rowachol Cap,Branded,,N,,,,,,,46.00,41.71,,,,Y,Y,46.00,20.000,5.000,N,N,N,N,N,N,N,N,N,N,N,N
rowatinex,11643,Rowatinex Cap,Branded,,N,,,,,,,30.00,28.67,,,,Y,Y,32.00,20.000,5.000,N,N,N,N,N,N,N,N,N,N,N,N
s-26-one-1.2kg,11323,S-26 0-6 MONTHS 1.2kg (Pink),Milk / Actiserve,,N,,,,,,,1723.00,1738.32,,,,Y,Y,1790.00,1.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
s-26-one-1.8kg-(pink),11325,S-26 0-6 MONTHS 1.8kg (Pink),Milk / Actiserve,,N,,,,,,,2550.00,2476.63,,,,Y,Y,2550.00,1.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
s-26-one-400g-(pink),10777,S-26 0-6 MONTHS 400g (Pink),Milk / Actiserve,,N,,,,,,,660.00,640.19,44218250,,,Y,Y,660.00,4.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
s-26-three-1.8kg-(pink)-1,10766,S-26 1-3 YEARS OLD 1.2kg (Pink),Milk / Actiserve,,N,,,,,,,1410.00,1369.16,,,,Y,Y,1410.00,1.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
s-26-three-1.8kg-(pink),10753,S-26 1-3 YEARS OLD 1.8kg (Pink),Milk / Actiserve,,N,,,,,,,2021.00,1962.62,,,,Y,Y,2021.00,1.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
s-26-two-1.2kg-(pink),11324,S-26 6-12 MONTHS 1.2kg (Pink),Milk / Actiserve,,N,,,,,,,1550.00,1504.68,,,,Y,Y,1550.00,1.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
s-26-two-1.8kg-(pink),11326,S-26 6-12 MONTHS 1.8kg (Pink),Milk / Actiserve,,N,,,,,,,2325.00,2257.01,,,,Y,Y,2325.00,1.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
s-26-two-400g-(pink),10749,S-26 6-12 MONTHS 400g (Pink),Milk / Actiserve,,N,,,,,,,625.00,606.54,,,,Y,Y,625.00,1.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
s26-gold-0-6-400g,10830,S-26 Gold 0-6 MONTHS 400g,Milk / Actiserve,,N,,,,,,,828.00,803.73,,,,Y,Y,828.00,0.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
s26-gold-6-12-400g,10770,S-26 Gold 6-12 MONTHS 400g,Milk / Actiserve,,N,,,,,,,765.00,742.99,,,,Y,Y,765.00,2.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
safeguard-beige-130g,11466,Safeguard Beige 125g,General Merchandise,,N,,,,,,,52.00,46.82,4902430935999,,,Y,Y,53.00,1.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
safeguard-floral-pink-130g,11060,Safeguard Floral Pink 115g,General Merchandise,,N,,,,,,,53.00,46.82,4902430935616,,,Y,Y,53.00,1.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
safeguard-lemon-130g,11061,Safeguard Lemon 115g,General Merchandise,,N,,,,,,,53.00,46.82,,,,Y,Y,53.00,1.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
safeguard-pure-white-130g,11062,Safeguard Pure White 115g,General Merchandise,,N,,,,,,,53.00,46.82,,,,Y,Y,53.00,1.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
safeguard-pure-white-65g-sachet,11847,Safeguard Pure White 65g Sachet,General Merchandise,,N,,,,,,,25.00,19.44,,,,Y,Y,25.00,1.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
salabat-tea,10436,Salabat Tea (Classic/Calamansi),General Merchandise,,N,,,,,,,10.00,5.75,1209011440822,,,Y,Y,10.00,4.000,12.000,N,N,N,N,N,N,N,N,N,N,N,N
salbutamol-+-guaifenesin-+-bromhexine-60ml-syrup,11661,Salbutamol + Guaifenesin + Bromhexine 60ml Syrup,Generics,,N,,,,,,,60.00,23.00,,,,Y,Y,60.00,2.000,2.000,N,N,N,N,N,N,N,N,N,N,N,N
salbutamol-+-guaifenesin-capsule,10502,Salbutamol + Guaifenesin Cap,Generics,,N,,,,,,,4.00,0.65,,,,Y,Y,4.00,704.000,200.000,N,N,N,N,N,N,N,N,N,N,N,N
salbutamol-+-guaifenesin-syrup-60ml,10574,Salbutamol + Guaifenesin Syrup 60ml,Generics,,N,,,,,,,45.00,14.50,4806529430658,,,Y,Y,45.00,11.000,6.000,N,N,N,N,N,N,N,N,N,N,N,N
pulmodual-neb,11903,Salbutamol + Ipratropium (Pulmodual) Neb,Branded,,N,,,,,,,35.00,31.35,,,,Y,Y,35.00,20.000,10.000,N,N,N,N,N,N,N,N,N,N,N,N
salbutamol-+-ipratropium-nebule,10503,Salbutamol + Ipratropium Nebule,Generics,,N,,,,,,,25.00,7.50,,,,Y,Y,25.00,111.000,60.000,N,N,N,N,N,N,N,N,N,N,N,N
salbutamol-syrup-60ml,10573,Salbutamol 2mg Syrup 60ml,Generics,,N,,,,,,,35.00,12.50,4806527191520,,,Y,Y,35.00,20.000,6.000,N,N,N,N,N,N,N,N,N,N,N,N
salbutamol-tab-2mg,10504,Salbutamol 2mg Tab,Generics,,N,,,,,,,1.00,0.22,,,,Y,Y,1.00,107.000,100.000,N,N,N,N,N,N,N,N,N,N,N,N
salbutamol-tab-4mg,10505,Salbutamol 4mg Tab,Generics,,N,,,,,,,2.00,0.35,,,,Y,Y,2.00,678.000,200.000,N,N,N,N,N,N,N,N,N,N,N,N
salbutamol-inhaler-(salbumin),11589,Salbutamol Inhaler,Generics,,N,,,,,,,165.00,67.00,4806524140620,,,Y,Y,165.00,8.000,3.000,N,N,N,N,N,N,N,N,N,N,N,N
salbutamol-neb,11098,Salbutamol Neb (Salbusaph),Generics,,N,,,,,,,10.00,4.83,,,,Y,Y,10.00,-93.000,100.000,N,N,N,N,N,N,N,N,N,N,N,N
salbutamol-(aero-vent),10014,Salbutamol Neb(Hivent / Aerovent),Generics,,N,,,,,,,12.00,7.77,,,,Y,Y,12.00,334.000,100.000,N,N,N,N,N,N,N,N,N,N,N,N
salicylic-acid-30ml,11340,Salicylic Acid 30ml,General Merchandise,,N,,,,,,,20.00,12.82,4809014258126,,,Y,Y,20.00,9.000,6.000,N,N,N,N,N,N,N,N,N,N,N,N
salicylic-acid-60ml,10915,Salicylic Acid 60ml,General Merchandise,,N,,,,,,,30.00,21.30,4809014258133,,,Y,Y,30.00,4.000,6.000,N,N,N,N,N,N,N,N,N,N,N,N
salinase-nasal-drops,10671,Salinase Nasal Drops,Branded,,N,,,,,,,85.00,76.50,4800360302204,,,Y,Y,85.00,1.000,3.000,N,N,N,N,N,N,N,N,N,N,N,N
salinase-nasal-spray,10670,Salinase Nasal Spray,Branded,,N,,,,,,,108.00,97.75,4800360275683,,,Y,Y,108.00,-1.000,2.000,N,N,N,N,N,N,N,N,N,N,N,N
salmeterol-+-fluticasone-25/125-mcg-inhaler,11854,Salmeterol + Fluticasone 25/125mcg Inhaler,Generics,,N,,,,,,,350.00,225.00,,,,Y,Y,380.00,2.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
salmeterol-fluticasone-inhaler-120puffs,11588,Salmeterol + Fluticasone 25/250mcg Inhaler,Generics,,N,,,,,,,450.00,270.00,8901530020037,,,Y,Y,450.00,1.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
salonpas-(piece),10702,Salonpas,Branded,,N,,,,,,,12.00,10.77,,,,Y,Y,12.00,-42.000,60.000,N,N,N,N,N,N,N,N,N,N,N,N
